I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11
-222.813843,-29.757139,-0.192186,0.003815,0.000015,2.317330,-0.190993,0.981591,0.320859,0.000000,0.000000,9.741667
-222.815094,-29.732477,-0.192178,-0.005674,0.000032,-3.064929,-0.191008,0.981589,0.320859,0.000000,0.000000,9.846666
-222.862595,-29.723841,-0.192202,-0.004188,0.000018,1.078540,-0.191024,0.981585,0.320859,0.000000,0.000000,9.719231
-222.825012,-29.705114,-0.192223,-0.007617,0.000058,-2.852825,-0.191049,0.981580,0.320859,0.000000,0.000000,9.741667
-222.811584,-29.712246,-0.192244,0.000949,0.000001,0.899096,-0.191055,0.981579,0.320859,0.000000,0.000000,9.859231
-222.845917,-29.677881,-0.192249,-0.005819,0.000034,-1.651469,-0.191067,0.981576,0.320859,0.000000,0.000000,9.777564
-222.819153,-29.674318,-0.192242,0.003358,0.000011,-1.192928,-0.191060,0.981579,0.320859,0.000000,0.000000,9.708462
-222.849884,-29.632866,-0.192261,-0.006810,0.000046,-0.722403,-0.191090,0.981572,0.320859,0.000000,0.000000,9.776667
-222.824417,-29.628841,-0.192283,-0.002233,0.000005,-1.064824,-0.191100,0.981571,0.320859,0.000000,0.000000,9.811666
-222.808685,-29.615561,-0.192297,-0.004311,0.000019,1.065299,-0.191107,0.981569,0.320859,0.000000,0.000000,9.681539
-222.807526,-29.615517,-0.192277,-0.001047,0.000001,-0.026317,-0.191095,0.981571,0.320859,0.000000,0.000000,9.797307
-222.836151,-29.615568,-0.192264,0.000974,0.000001,-2.268288,-0.191082,0.981575,0.320859,0.000000,0.000000,9.663589
-222.849884,-29.601585,-0.192250,-0.002383,0.000006,-3.211729,-0.191068,0.981575,0.320859,0.000000,0.000000,9.772180
-222.864487,-29.611771,-0.192245,0.007020,0.000049,2.010653,-0.191063,0.981580,0.320859,0.000000,0.000000,9.720128
-222.840561,-29.595127,-0.192232,-0.000285,0.000000,-0.183180,-0.191050,0.981580,0.320859,0.000000,0.000000,9.798205
-222.873322,-29.602905,-0.192219,0.003802,0.000014,-0.310180,-0.191015,0.981587,0.320859,0.000000,0.000000,9.692307
-222.868179,-29.581030,-0.192197,-0.004603,0.000021,-4.690984,-0.191023,0.981586,0.320859,0.000000,0.000000,9.756923
-222.908325,-29.584433,-0.192194,-0.000930,0.000001,-3.123609,-0.191013,0.981588,0.320859,0.000000,0.000000,9.703076
-222.897461,-29.588856,-0.192195,0.000886,0.000001,2.168252,-0.191007,0.981589,0.320859,0.000000,0.000000,9.809872
-222.921997,-29.581762,-0.192181,-0.001006,0.000001,-1.989334,-0.191000,0.981590,0.320859,0.000000,0.000000,9.782948
-222.866409,-29.593637,-0.192175,0.002448,0.000006,0.510955,-0.190987,0.981592,0.320859,0.000000,0.000000,9.697692
-222.907242,-29.584545,-0.192160,0.001332,0.000002,-3.044442,-0.190987,0.981592,0.320859,0.000000,0.000000,9.766794
-222.854736,-29.579777,-0.192184,-0.002471,0.000006,3.884676,-0.190999,0.981590,0.320859,0.000000,0.000000,9.739872
-222.832214,-29.579344,-0.192179,-0.000803,0.000001,-0.031564,-0.191002,0.981589,0.320859,0.000000,0.000000,9.756025
-222.847351,-29.586203,-0.192185,0.002430,0.000006,-0.649500,-0.191000,0.981590,0.320859,0.000000,0.000000,9.712051
-222.850403,-29.579958,-0.192173,-0.002867,0.000008,-2.385849,-0.191008,0.981588,0.320859,0.000000,0.000000,9.781154
-222.837585,-29.585850,-0.192199,0.001045,0.000001,2.108300,-0.191018,0.981588,0.320859,0.000000,0.000000,9.714744
-222.843231,-29.574432,-0.192198,-0.004555,0.000021,-2.439805,-0.191017,0.981587,0.320859,0.000000,0.000000,9.761410
-222.763718,-29.577511,-0.192203,-0.003586,0.000013,-0.340678,-0.191026,0.981584,0.320859,0.000000,0.000000,9.779359
-222.815033,-29.583662,-0.192210,-0.000014,0.000000,-0.143084,-0.191021,0.981587,0.320859,0.000000,0.000000,9.796410
-222.791840,-29.583286,-0.192207,-0.001572,0.000002,3.015582,-0.191022,0.981585,0.320859,0.000000,0.000000,9.722820
-222.807236,-29.594328,-0.192200,0.004099,0.000017,3.232986,-0.191011,0.981588,0.320859,0.000000,0.000000,9.709359
-222.743530,-29.585499,-0.192188,-0.000225,0.000000,3.901396,-0.191004,0.981590,0.320859,0.000000,0.000000,9.772180
-222.756714,-29.592566,-0.192188,0.003202,0.000010,5.355331,-0.191007,0.981591,0.320859,0.000000,0.000000,9.725513
-222.735382,-29.571049,-0.192186,-0.006368,0.000041,-2.764830,-0.191013,0.981588,0.320859,0.000000,0.000000,9.738077
-222.740784,-29.588745,-0.192192,0.001094,0.000001,0.014075,-0.191011,0.981587,0.320859,0.000000,0.000000,9.724615
